Company,ESG_Score,Risk_Level,Management,URL
Digital Realty Trust,12.2,Negligible,Strong,https://www.sustainalytics.com/esg-rating/digital-realty-trust-inc/1018920106
DigitalBridge Group,16.8,Negligible,Average,https://www.sustainalytics.com/esg-rating/digitalbridge-group-inc/1068717454
Stack Infrastructure Inc,1.0,Negligible,,https://www.sustainalytics.com/esg-rating/stack-infrastructure-inc/2006754006
NextDC Ltd,15.3,Negligible,Average,https://www.sustainalytics.com/esg-rating/nextdc-ltd/1123246430
Keppel DC REIT,12.5,Negligible,Average,https://www.sustainalytics.com/esg-rating/keppel-dc-reit/1287847576
Keppel REIT,8.5,Negligible,Strong,https://www.sustainalytics.com/esg-rating/keppel-reit/1034566043
Singapore Telecommunications,19.1,Negligible,Strong,https://www.sustainalytics.com/esg-rating/singapore-telecommunications-ltd/1007990630
Mapletree Industrial Trust,13.9,Negligible,Average,https://www.sustainalytics.com/esg-rating/mapletree-industrial-trust/1121344589
Mapletree Logistics Trust,11.7,Negligible,Average,https://www.sustainalytics.com/esg-rating/mapletree-logistics-trust/1030897891
Mapletree Pan Asia Commercial Trust,11.4,Negligible,Strong,https://www.sustainalytics.com/esg-rating/mapletree-pan-asia-commercial-trust/2011664923
GDS Holdings,15.4,Negligible,Average,https://www.sustainalytics.com/esg-rating/gds-holdings-ltd/1411629733
